PT,AU,BA,BE,GP,AF,BF,CA,TI,SO,SE,BS,LA,DT,CT,CY,CL,SP,HO,DE,ID,AB,C1,RP,EM,RI,OI,FU,FX,CR,NR,TC,Z9,U1,U2,PU,PI,PA,SN,EI,BN,J9,JI,PD,PY,VL,IS,PN,SU,SI,MA,BP,EP,AR,DI,D2,EA,PG,WC,SC,GA,UT,PM,OA,HC,HP,DA,include?,Language1,Language2,Language3,Language4,within/between,materials,comments
J,"Drai-Zerbib, V; Baccino, T; Bigand, E",,,,"Drai-Zerbib, Veronique; Baccino, Thierry; Bigand, Emmanuel",,,Sight-reading expertise: Cross-modality integration investigated using eye tracking,PSYCHOLOGY OF MUSIC,,,,,,,,,,,,"It is often said that experienced musicians are capable of hearing what they read (and vice versa). This suggests that they are able to process and to integrate multimodal information. The present study investigates this issue with an eye-tracking technique. Two groups of musicians chosen on the basis of their level of expertise (experts, non-experts) had to read excerpts of poorly-known classical piano music and play them on a keyboard. The experiment was run in two consecutive phases during which each excerpt was (1) read without playing and (2) sight-read (read and played). In half the conditions, the participants heard the music before the reading phases. The excerpts contained suggested fingering of variable difficulty (difficult, easy, or no fingering). Analyses of first-pass fixation duration, second-pass fixation duration, probability of re-fixation, and playing mistakes validated the hypothesized modal independence of information among expert musicians as compared to non-experts. The results are discussed in terms of the processing cues and retrieval structures postulated by Ericsson and Kintsch (1995) in their model of expert memory.",,,,,,,,,,,,,,,,,0305-7356,,,,,MAR,2012,40,2,,,,,216,235,,10.1177/0305735610394710,,,,,,,WOS:000301230400006,,,,,,No,,,,,,,
J,"Jainta, S; Hoormann, J; Kloke, WB; Jaschinski, W",,,,"Jainta, Stephanie; Hoormann, Joerg; Kloke, Wilhelm Bernhard; Jaschinski, Wolfgang",,,Binocularity during reading fixations: Properties of the minimum fixation disparity,VISION RESEARCH,,,,,,,,,,,,"The present study was based on the physiologically reasonable assumption that the binocular system aims for a reduction of fixation disparity during fixation and that the minimum amount of fixation disparity reflects the optimal binocular status. We measured eye movements (EyeLink II) of 18 participants, while they read 60 sentences from the Potsdam-Sentence-Corpus (PSC) at a viewing distance of 60 cm. The minimum fixation disparity was frequently reached directly after the post-saccadic drift, sometimes at the end of fixation and sometimes somewhere in between. Minimum fixation disparity was strongly influenced only by fixation position (within the sentence) while the amplitude of incoming saccade had a negligible effect. Moreover, the effect of fixation position on minimum fixation disparity was correlated with the individual ability to compensate for binocular disconjugacy (due to saccades) while fixating during reading. Generally, we found fixation disparity to be correlated between conditions of reading and fixating single targets, while the reading fixation disparity tended to be more crossed (eso). (C) 2010 Elsevier Ltd. All rights reserved.",,,,,,,,,,,,,,,,,0042-6989,1878-5646,,,,אוג-23,2010,50,18,,,,,1775,1785,,10.1016/j.visres.2010.05.033,,,,,,,WOS:000281266400001,20573592,,,,,Yes,German,,,,,sentences,potsdam sentences
J,"Johansson, R; Wengelin, A; Johansson, V; Holmqvist, K",,,,"Johansson, Roger; Wengelin, Asa; Johansson, Victoria; Holmqvist, Kenneth",,,Looking at the keyboard or the monitor: relationship with text production processes,READING AND WRITING,,,,,,,,,,,,"In this paper we explored text production differences in an expository text production task between writers who looked mainly at the keyboard and writers who looked mainly at the monitor. Eye-tracking technology and keystroke-logging were combined to systematically describe and define these two groups in respect of the complex interplay between text production and the reading of one's own emerging text. Findings showed that monitor gazers typed significantly faster and were more productive writers. They also read their own text more, and they frequently read in parallel with writing. Analysis of fixation durations suggests that more cognitive processing is in use during reading in parallel with writing than during reading in pauses. Keyboard gazers used the left and right cursor keys significantly more. We suggest that this is because they revised their texts in a much more serial mode than monitor gazers. Finally, analysis of the characteristics of the final texts showed no differences between the groups.",,,,,"Johansson, Roger/0000-0003-3434-2538; Holmqvist, Kenneth/0000-0003-1738-3207",,,,,,,,,,,,0922-4777,,,,,AUG,2010,23,7,,,SI,,835,851,,10.1007/s11145-009-9189-3,,,,,,,WOS:000279840900005,,,,,,No,,,,,,,
J,"Stine-Morrow, EAL; Noh, SR; Shake, MC",,,,"Stine-Morrow, Elizabeth A. L.; Noh, Soo Rim; Shake, Matthew C.",,,Age differences in the effects of conceptual integration training on resource allocation in sentence processing,QUARTERLY JOURNAL OF EXPERIMENTAL PSYCHOLOGY,,,,,,,,,,,,"This research examined age differences in the accommodation of reading strategies as a consequence of explicit instruction in conceptual integration. In Experiment 1, young, middle-aged, and older adults read sentences for delayed recall using a moving-window method. Readers in an experimental group received instruction in making conceptual links during reading while readers in a control group were simply encouraged to allocate effort. Regression analysis to decompose word-by-word reading times in each condition isolated the time allocated to conceptual processing at the point in the text at which new concepts were introduced, as well as at clause and sentence boundaries. While younger adults responded to instructions by differentially allocating effort to sentence wrap-up, older adults allocated effort to intrasentence wrap-up and on new concepts as they were introduced, suggesting that older readers optimized their allocation of effort to linguistic computations for textbase construction within their processing capacity. Experiment 2 verified that conceptual integration training improved immediate recall among older readers as a consequence of engendering allocation to conceptual processing.",,,,,,,,,,,,,,,,,1747-0218,,,,,,2010,63,7,,,,,1430,1455,PII 917131241,10.1080/17470210903330983,,,,,,,WOS:000279222700012,19941199,,,,,No,,,,,,,
J,"Lee, Y; Lee, H; Gordon, PC",,,,"Lee, Yoonhyoung; Lee, Hanjung; Gordon, Peter C.",,,Linguistic complexity and information structure in Korean: Evidence from eye-tracking during reading,COGNITION,,,,,,,,,,,,"The nature of the memory processes that support language comprehension and the manner in which information packaging influences online sentence processing were investigated in three experiments that used eye-tracking during reading to measure the ease of understanding complex sentences in Korean. All three experiments examined reading of embedded complement sentences; the third experiment additionally examined reading of sentences with object modifying, object-extracted relative clauses. In Korean, both of these structures place two NPs with nominative case marking early in the sentence, with the embedded and matrix verbs following later. The type (pronoun, name or description) of these two critical NPs was varied in the experiments. When the initial NPs were of the same type, comprehension was slowed after participants had read the sentence-final verbs, a finding that supports the view that working memory in language comprehension is constrained by similarity-based interference during the retrieval of information necessary to determine the syntactic or semantic relations between noun phrases and verb phrases. Ease of comprehension was also influenced by the association between type of NP and syntactic position, with the best performance being observed when more definite NPs (pronouns and names) were in a prominent syntactic position (e.g., matrix subject) and less definite NPs (descriptions) were in a non-prominent syntactic position (embedded subject). This pattern provides evidence that the interpretation of sentences is facilitated by consistent packaging of information in different linguistic elements. (c) 2006 Elsevier B.V. All rights reserved.",,,,,,,,,,,,,,,,,0010-0277,1873-7838,,,,SEP,2007,104,3,,,,,495,534,,10.1016/j.cognition.2006.07.013,,,,,,,WOS:000248777700004,16970936,,,,,Yes,Korean,,,,,sentences,
J,"Weger, UW; Enhofv, AW",,,,"Weger, Uuuch W.; Enhofv, Albrecirr W.",,,Long-range regressions to previously read words. are guided by spatial and verbal memory,MEMORY & COGNITION,,,,,,,,,,,,"To examine the nature of the information that guides eye movements to previously read text during reading (regressions), we used a relatively novel technique to request a regression to a particular target word when the eyes reached a predefined location during sentence reading. A regression was to be directed to a close or a distant target when either the first or the second line of a complex two-line sentence was read. In addition, conditions were created that pitted effects of spatial and linguistic distance against each other. Initial regressions were more accurate when the target was spatially near, and effects of spatial distance dominated effects of verbal distance. Initial regressions rarely moved the eyes onto the target, however, and subsequent ""corrective' regressions that homed in on the target were subject to general linguistic processing demands, being more accurate during first-line reading than during second-line reading. The results suggest that spatial and verbal memory guide regressions in reading. Initial regressions are primarily guided by fixation-centered spatial memory, and corrective regressions are primarily guided by linguistic knowledge.",,,,,,,,,,,,,,,,,0090-502X,,,,,SEP,2007,35,6,,,,,1293,1306,,10.3758/BF03193602,,,,,,,WOS:000250560100011,18035628,,,,,Yes,English,,,,,sentences,
J,"Luo, J; Isaacowitz, DM",,,,"Luo, Jiang; Isaacowitz, Derek M.",,,"How optimists face skin cancer information: Risk assessment, attention, memory, and behavior",PSYCHOLOGY & HEALTH,,,,,,,,,,,,"The purpose of the present study was to investigate how optimists process health-related information. Sixty-five young adults ( ages 18-35) reported skin cancer-related knowledge and behaviors, and read slides of information on skin and skin cancer. Visual attention to the slides was recorded using eye tracking, and their memory for the information was measured. Additionally, participants' self-reported skin cancer-relevant behavior was assessed prospectively in the months following the lab component of the study. Results show that individuals low in dispositional optimism or high in health-related optimism paid more attention when they were at high objective risk of developing skin cancer; and individuals high in dispositional optimism or high in health-related optimism were more likely to perform adaptive, health-promoting behaviors. In addition, optimistic beliefs were found not to be related with unrealistic optimism. Dispositional and health-related optimism therefore appear to predict health-related cognition and behavior in distinct ways.",,,,,,,,,,,,,,,,,0887-0446,1476-8321,,,,,2007,22,8,,,,,963,984,,10.1080/14768320601070951,,,,,,,WOS:000250688300007,,,,,,No,,,,,,,
J,"Staub, A; Clifton, C; Frazier, L",,,,"Staub, A; Clifton, C; Frazier, L",,,Heavy NP shift is the parser's last resort: Evidence from eye movements,JOURNAL OF MEMORY AND LANGUAGE,,,,,18th Annual CUNY Conference on Human Sentence Processing,"APR, 2005","Tucson, AZ",Univ Massachusetts Grad Sch Fellowship,,,,"Two eye movement experiments explored the roles of verbal subcategorization possibilities and transitivity biases in the processing of heavy NP shift sentences in which the verb's direct object appears to the right of a post-verbal phrase. In Experiment 1, participants read sentences in which a prepositional phrase immediately followed the verb, which was either obligatorily transitive or had a high transitivity bias (e.g., Jack praised/watched from the stands his daughter's attempt to shoot a basket). Experiment 2 compared unshifted sentences to sentences in which an adverb intervened between the verb and its object, and obligatorily transitive verbs to optionally transitive verbs with widely varying transitivity biases. In both experiments, evidence of processing difficulty appeared on the material that intervened between the verb and its object when the verb was obligatorily transitive, and on the shifted direct object when the verb was optionally transitive, regardless of transitivity bias. We conclude that the parser adopts the heavy NP shift analysis only when it is forced to by the grammar, which we interpret in terms of a preference for immediate incremental interpretation. (c) 2005 Elsevier Inc. All rights reserved.",,,,"Clifton, Charles/O-4301-2019","Clifton, Charles/0000-0001-5505-5330",,,,,,,,,,,,0749-596X,,,,,APR,2006,54,3,,,,,389,406,,10.1016/j.jml.2005.12.002,,,,,,,WOS:000236045300006,17047731,,,,,Yes,English,,,,,sentences,
J,"Klin, CM; Guzman, AE; Weingartner, KM; Ralano, AS",,,,"Klin, CM; Guzman, AE; Weingartner, KM; Ralano, AS",,,When anaphor resolution fails: Partial encoding of anaphoric inferences,JOURNAL OF MEMORY AND LANGUAGE,,,,,14th Annual Meeting of the Society-for-Text-and-Discourse,"AUG, 2004","Chicago, IL",Soc Text & Discourse,,,,"Klin, Weingartner, Guzman, and Levine (2004) Levine, Guzman, and Klin (2000) concluded that readers fail to resolve noun phrase anaphors when the antecedent is difficult to retrieve from memory and the inference is not necessary for comprehension. In four experiments we investigated the hypothesis that these inferences were actually partially encoded. Although the results of a lexical decision task demonstrated that readers did not encode a specific lexical item, the results of a reading time measure indicated that they treated the anaphoric noun phrases as co-referential, having reinstated some features from the antecedent episode. We conclude that readers were satisfied with an underspecified representation (Ferreira, Bailey, & Ferraro, 2002; Sanford, 2002); although they knew that an antecedent was present in the passage, they did not devote the resources to fully reinstate it. Further, readers can quickly evaluate the importance of text inputs to comprehension and adjust their attentional resources accordingly. (c) 2005 Elsevier Inc. All rights reserved.",,,,,,,,,,,,,,,,,0749-596X,,,,,JAN,2006,54,1,,,,,131,143,,10.1016/j.jml.2005.09.001,,,,,,,WOS:000234835300009,,,,,,No,,,,,,,
J,"Behrmann, M; Black, SE; McKeeff, TJ; Barton, JJS",,,,"Behrmann, M; Black, SE; McKeeff, TJ; Barton, JJS",,,Oculographic analysis of word reading in hemispatial neglect,PHYSIOLOGY & BEHAVIOR,,,,,,,,,,,,"Neglect dyslexia is a disorder in which individuals misread text appearing on the contralateral side of space following an acquired lesion, usually to the right parietal lobe. This disorder is generally attributed to an impairment in representing spatial information. To determine whether the spatial representations underlying reading differ from those mediating other forms of visual behavior, we investigated the co-occurrence of neglect dyslexia with that of neglect, which manifests on tasks such as line bisection or line cancellation. We also examined the correlation between neglect dyslexia, when present, and eye movements in order to characterize the neglect dyslexia disorder further. Whereas there is no clear relationship between the reading disorder and other symptoms of visuospatial neglect, suggesting segregated spatial representations, there is a direct correspondence between the oculomotor performance of patients with neglect dyslexia and their reading behavior. This latter result suggests that the reading deficit may well arise from the failure to register and perceive the contralesional information. (C) 2002 Elsevier Science Inc. All rights reserved.",,,,"Black, Sandra E./C-7294-2011; Barton, Jason/A-6362-2012","Behrmann, Marlene/0000-0002-3814-1015; Black, Sandra/0000-0001-7093-8289",,,,,,,,,,,,0031-9384,,,,,DEC,2002,77,04-מאי,,,,,613,619,PII S0031-9384(02)00896-X,10.1016/S0031-9384(02)00896-X,,,,,,,WOS:000180588400027,12527008,,,,,Yes,English,,,,,words,patients (neglect)
J,"Koh, S; Clifton, C",,,,"Koh, S; Clifton, C",,,Resolution of the antecedent of a plural pronoun: Ontological categories and predicate symmetry,JOURNAL OF MEMORY AND LANGUAGE,,,,,,,,,,,,"Two questionnaire studies and two reading time experiments explored how readers determine the reference of the plural pronoun they. The questionnaire studies showed that readers were more willing to take an ontologically homogeneous (all humans) collection of entities as the antecedent of they than all ontologically heterogeneous collection and that they were more willing to take the entities that till the thematic roles of a ""symmetric"" herb like dine with as the antecedent of them than the entities that till the role of a ""nonsymmetric"" verb like hit. The questionnaire studies also showed a preference for taking the maximally inclusive group as the referent of they. The reading time experiments showed that these effects occur online so that reading is slowed when a temporary ambiguity is resolved in a way that conflicts with the preferences as described. A theoretical framework was described in which two stages of processing, described by an ""equivalence"" and and a ""closure"" principle, respectively, take place. (C) 2002 Elsevier Science (USA).",,,,"Clifton, Charles/O-4301-2019","Clifton, Charles/0000-0001-5505-5330",,,,,,,,,,,,0749-596X,,,,,MAY,2002,46,4,,,,,830,844,,10.1006/jmla.2001.2829,,,,,,,WOS:000175646400008,,,,,,No,,,,,,,
J,"Seo, H; Lee, C",,,,"Seo, H; Lee, C",,,Head-free reading of horizontally and vertically arranged texts,VISION RESEARCH,,,,,,,,,,,,"Parameters of eye and head movements and their coordination in reading horizontally and vertically arranged texts were compared. Reading was faster for horizontally arranged than for vertically arranged texts by 24%, primarily due to larger gaze amplitude for horizontal reading, and thus smaller numbers of saccades and fixations. The higher velocity of gaze saccades for given amplitudes in horizontal than vertical reading also contributed to the difference in reading speed. The horizontal bias in reading is at least partly due to the oculomotor system, because the higher velocity for given amplitude of horizontal saccade was also observed in a control experiment devoid of lexical load, in which a sequentially stepping laser target was tracked. The analysis of instantaneous phase of eye and head movements with a new metric derived by the Hilbert transform suggests that eye and head Coupling is stronger for vertical than for horizontal direction in both reading and laser-tracking tasks. These results, combined with previous evidence that text familiarity modulates the timing and strength of head movement commands with respect to eye movements (Vis. Res. 39 (1999) 3761), indicate that the coupling strength between eye and head movements is variable depending on the direction of gaze shift and cognitive context. (C) 2002 Elsevier Science Ltd. All rights reserved.",,,,"Seo, Hyojung/A-6860-2008",,,,,,,,,,,,,0042-6989,,,,,MAY,2002,42,10,,,,,1325,1337,PII S0042-6989(02)00063-9,10.1016/S0042-6989(02)00063-9,,,,,,,WOS:000176726700008,12044761,,,,,Yes,Korean,,,,,texts,
J,"Calvo, MG; Meseguer, E; Carreiras, M",,,,"Calvo, MG; Meseguer, E; Carreiras, M",,,Inferences about predictable events: eye movements during reading,PSYCHOLOGICAL RESEARCH-PSYCHOLOGISCHE FORSCHUNG,,,,,,,,,,,,"Eye fixations were recorded to assess whether, how, and when readers draw inferences about predictable events. Predicting context sentences, or non-predicting control sentences, were presented, followed by continuation sentences in which a target word referred to a predictable event (inferential word) or an unlikely event (non-predictable word). There were no effects on initial target word processing measures, such as launch and landing sites, fixation probability, first-fixation duration, or first-pass reading time. However, relative to the control condition, the predicting context (1) speeded up reanalysis of the inferential word as revealed by a reduction in second-pass reading time and regressions, and (2) interfered with processing of the non-predictable word, as shown by an increase in regressions. These results indicate that predictive inferences are active at late text integration processes, rather than at early lexical-access processes. The pattern of findings suggests that these inferences involve initial activation of rather general concepts following the inducing context, and that they are completed or refined with delay, after the inferential target word is read.",,,,"Carreiras, Manuel/D-5267-2009; CALVO, MANUEL/N-3042-2019; Meseguer, Enrique/L-5417-2014; Calvo, Manuel/K-6381-2014","Carreiras, Manuel/0000-0001-6726-7613; CALVO, MANUEL/0000-0003-1083-9929; Meseguer, Enrique/0000-0001-7783-233X; Calvo, Manuel/0000-0003-1083-9929",,,,,,,,,,,,0340-0727,,,,,AUG,2001,65,3,,,,,158,169,,10.1007/s004260000050,,,,,,,WOS:000170765000002,11571911,,,,,Yes,Spanish,,,,,texts,
J,"Rizzo, JR; Hudson, TE; Dai, WW; Birkemeier, J; Pasculli, RM; Selesnick, I; Balcer, LJ; Galetta, SL; Rucker, JC",,,,"Rizzo, John-Ross; Hudson, Todd E.; Dai, Weiwei; Birkemeier, Joel; Pasculli, Rosa M.; Selesnick, Ivan; Balcer, Laura J.; Galetta, Steven L.; Rucker, Janet C.",,,Rapid number naming in chronic concussion: eye movements in the King-Devick test,ANNALS OF CLINICAL AND TRANSLATIONAL NEUROLOGY,,,,,,,,,,,,"ObjectiveThe King-Devick (KD) test, which is based on rapid number naming speed, is a performance measure that adds vision and eye movement assessments to sideline concussion testing. We performed a laboratory-based study to characterize ocular motor behavior during the KD test in a patient cohort with chronic concussion to identify features associated with prolonged KD reading times. MethodsTwenty-five patients with a concussion history (mean age: 31) were compared to control participants with no concussion history (n = 42, mean age: 32). Participants performed a computerized KD test under infrared-based video-oculography. ResultsAverage intersaccadic intervals for task-specific saccades were significantly longer among concussed patients compared to controls (324.4 85.6 msec vs. 286.1 +/- 49.7 msec, P = 0.027). Digitized KD reading times were prolonged in concussed participants versus controls (53.43 +/- 14.04 sec vs. 43.80 +/- 8.55 sec, P = 0.004) and were highly correlated with intersaccadic intervals. Concussion was also associated with a greater number of saccades during number reading and larger average deviations of saccade endpoint distances from the centers of the to-be-read numbers (1.22 +/- 0.29 degrees vs. 0.98 +/- 0.27 degrees, P = 0.002). There were no differences in saccade peak velocity, duration, or amplitude. InterpretationProlonged intersaccadic intervals, greater numbers of saccades, and larger deviations of saccade endpoints underlie prolonged KD reading times in chronic concussion. The KD test relies upon a diffuse neurocognitive network that mediates the fine control of efferent visual function. One sequela of chronic concussion may be disruption of this system, which may produce deficits in spatial target selection and planning of eye movements.",,,,,"Rizzo, John-Ross/0000-0002-4084-0085",,,,,,,,,,,,2328-9503,,,,,OCT,2016,3,10,,,,,801,811,,10.1002/acn3.345,,,,,,,WOS:000385666800006,27752515,,,,,No,,,,,,,
J,"Ratsep, MT; Hickman, AF; Maser, B; Pudwell, J; Smith, GN; Brien, D; Stroman, PW; Adams, MA; Reynolds, JN; Croy, BA; Paolozza, A",,,,"Raetsep, Matthew T.; Hickman, Andrew F.; Maser, Brandon; Pudwell, Jessica; Smith, Graeme N.; Brien, Donald; Stroman, Patrick W.; Adams, Michael A.; Reynolds, James N.; Croy, B. Anne; Paolozza, Angelina",,,Impact of preeclampsia on cognitive function in the offspring,BEHAVIOURAL BRAIN RESEARCH,,,,,,,,,,,,"Preeclampsia (PE) is a significant clinical disorder occurring in 3-5% of all human pregnancies. Offspring of PE pregnancies (PE-F1s) are reported to exhibit greater cognitive impairment than offspring from uncomplicated pregnancies. Previous studies of PE-F1 cognitive ability used tests with bias that do not assess specific cognitive domains. To improve cognitive impairment classification in PE-F1s we used standardized clinical psychometric testing and eye tracking studies of saccadic eye movements. PE-F1s (n = 10) and sex/age matched control participants (n = 41 for psychometrics; n = 59 for eye-tracking) were recruited from the PE-NET study or extracted from the NeuroDevNet study databases. Participants completed a selected array of psychometric tests which assessed executive function, working memory, attention, inhibition, visuospatial processing, reading, and math skills. Eye-tracking studies included the prosaccade, antisaccade, and memory-guided tasks. Psychometric testing revealed an impairment in working memory among PE-F1s. Eye-tracking studies revealed numerous impairments among PE-F1s including additional saccades required to reach the target, poor endpoint accuracy, and slower reaction time. However, PE-F1s made faster saccades than controls, and fewer sequence errors in the memory-guided task. Our study provides a comprehensive assessment of cognitive function among PE-F1s. The development of PE may be seen as an early predictor of reduced cognitive function in children, specifically in working memory and oculomotor control. Future studies should extended to a larger study populations, and may be valuable for early studies of children born to pregnancies complicated by other disorders, such as gestational diabetes or intrauterine growth restriction. (C) 2016 Elsevier B.V. All rights reserved.",,,,"Ratsep, Matthew T/J-5821-2019","Ratsep, Matthew T/0000-0001-8017-3371; Smith, Graeme/0000-0002-3128-4523; Croy, B. Anne/0000-0002-1866-3270; Pudwell, Jessica/0000-0002-7000-2605; Maser, Brandon/0000-0002-9427-0022",,,,,,,,,,,,0166-4328,1872-7549,,,,אפר-01,2016,302,,,,,,175,181,,10.1016/j.bbr.2016.01.030,,,,,,,WOS:000371950500021,26784561,,,,,No,,,,,,,
J,"Olkoniemi, H; Ranta, H; Kaakinen, JK",,,,"Olkoniemi, Henri; Ranta, Henri; Kaakinen, Johanna K.",,,Individual Differences in the Processing of Written Sarcasm and Metaphor: Evidence From Eye Movements,JOURNAL OF EXPERIMENTAL PSYCHOLOGY-LEARNING MEMORY AND COGNITION,,,,,,,,,,,,"The present study examined individual differences in the processing of different forms of figurative language. Sixty participants read sarcastic, metaphorical, and literal sentences embedded in story contexts while their eye movements were recorded, and responded to a text memory and an inference question after each story. Individual differences in working memory capacity (WMC), need for cognition (NFC), and cognitive-affective processing were measured. The results showed that the processing of metaphors was characterized by slow-down during first-pass reading of the utterances, whereas sarcasm produced mainly delayed effects in the eye movement records. Sarcastic utterances were also harder to comprehend than literal or metaphorical utterances as indicated by poorer performance in responses to inference questions. Individual differences in general cognitive factors (WMC and NFC) were related to the processing of metaphors, whereas individual differences in both general cognitive factors (WMC) as well as processing of emotional information were related to the processing of sarcasm. The results indicate that different forms of figurative language pose different cognitive demands to the reader, and show that reader characteristics play a prominent role in figurative language comprehension.",,,,"Olkoniemi, Henri/H-9238-2019","Olkoniemi, Henri/0000-0001-6915-089X",,,,,,,,,,,,0278-7393,1939-1285,,,,MAR,2016,42,3,,,,,433,450,,10.1037/xlm0000176,,,,,,,WOS:000371346400007,26371496,,,,,Yes,Finnish,,,,,sentences,
J,"Xiang, M; Kuperberg, G",,,,"Xiang, Ming; Kuperberg, Gina",,,Reversing expectations during discourse comprehension,LANGUAGE COGNITION AND NEUROSCIENCE,,,,,,,,,,,,"In two event-related potential experiments, we asked whether comprehenders used the concessive connective, even so, to predict upcoming events. Participants read coherent and incoherent scenarios, with and without even so, e.g. 'Elizabeth had a history exam on Monday. She took the test and aced/failed it. (Even so), she went home and celebrated wildly', as they rated coherence (Experiment 1) or simply answered intermittent comprehension questions (Experiment 2). The semantic function of even so was used to reverse real-world knowledge predictions, leading to an attenuated N400 to coherent versus incoherent target words ('celebrated'). Moreover, its pragmatic communicative function enhanced predictive processing, leading to more N400 attenuation to coherent targets in scenarios with than without even so. This benefit however, did not come for free: the detection of failed event predictions triggered a later posterior positivity and/or an anterior negativity effect, and costs of maintaining alternative likelihood relations manifest as a sustained negativity effect on sentence-final words.",,,,,,,,,,,,,,,,,2327-3798,2327-3801,,,,יול-03,2015,30,6,,,,,648,672,,10.1080/23273798.2014.995679,,,,,,,WOS:000353420700002,25914891,,,,,No,,,,,,,
J,"Veldre, A; Andrews, S",,,,"Veldre, Aaron; Andrews, Sally",,,Parafoveal Lexical Activation Depends on Skilled Reading Proficiency,JOURNAL OF EXPERIMENTAL PSYCHOLOGY-LEARNING MEMORY AND COGNITION,,,,,,,,,,,,"The boundary paradigm was used to investigate individual differences in the extraction of lexical information from the parafovea in sentence reading. The preview of a target word was manipulated so that it was identical (e.g., sped), a higher frequency orthographic neighbor (seed), a nonword neighbor (sted), or an all-letter-different nonword (glat). Ninety-four skilled adult readers were assessed on measures of reading and spelling ability. The results showed that null effects of preview lexical status in the average data obscured systematic differences on the basis of proficiency and target neighborhood density. For targets from dense neighborhoods, inhibition from a higher frequency neighbor preview occurred among highly proficient readers, and particularly those with superior spelling ability, in early fixation measures. Poorer readers showed inhibition only in second-pass reading of the target. These data suggest that readers with precise lexical representations are more likely to extract lexical information from a word before it is fixated. The implications for computational models of eye movements in reading are discussed.",,,,"Veldre, Aaron/P-1072-2019","Veldre, Aaron/0000-0002-0364-8502; Andrews, Sally/0000-0002-5453-4628",,,,,,,,,,,,0278-7393,1939-1285,,,,MAR,2015,41,2,,,,,586,595,,10.1037/xlm0000039,,,,,,,WOS:000350986400020,25068856,,,,,Yes,English,,,,,sentences,gaze contingent
J,"Bolmont, M; Cacioppo, JT; Cacioppo, S",,,,"Bolmont, Mylene; Cacioppo, John T.; Cacioppo, Stephanie",,,Love Is in the Gaze: An Eye-Tracking Study of Love and Sexual Desire,PSYCHOLOGICAL SCIENCE,,,,,,,,,,,,"Reading other people's eyes is a valuable skill during interpersonal interaction. Although a number of studies have investigated visual patterns in relation to the perceiver's interest, intentions, and goals, little is known about eye gaze when it comes to differentiating intentions to love from intentions to lust (sexual desire). To address this question, we conducted two experiments: one testing whether the visual pattern related to the perception of love differs from that related to lust and one testing whether the visual pattern related to the expression of love differs from that related to lust. Our results show that a person's eye gaze shifts as a function of his or her goal (love vs. lust) when looking at a visual stimulus. Such identification of distinct visual patterns for love and lust could have theoretical and clinical importance in couples therapy when these two phenomena are difficult to disentangle from one another on the basis of patients' self-reports.",,,,,,,,,,,,,,,,,0956-7976,1467-9280,,,,SEP,2014,25,9,,,,,1748,1756,,10.1177/0956797614539706,,,,,,,WOS:000342923600010,25031302,,,,,No,,,,,,,
J,"Danelli, L; Berlingeri, M; Bottini, G; Ferri, F; Vacchi, L; Sberna, M; Paulesu, E",,,,"Danelli, Laura; Berlingeri, Manuela; Bottini, Gabriella; Ferri, Francesca; Vacchi, Laura; Sberna, Maurizio; Paulesu, Eraldo",,,"Neural intersections of the phonological, visual magnocellular and motor/cerebellar systems in normal readers: Implications for imaging studies on dyslexia",HUMAN BRAIN MAPPING,,,,,,,,,,,,"We used fMRI to explore the extent of the anatomical overlap of three neural systems that the literature on developmental dyslexia associates with reading: the auditory phonological, the visual magnocellular, and the motor/cerebellar systems. Twenty-eight normal subjects performed four tasks during fMRI scans: word and pseudoword reading, auditory rhyming for letter names, visual motion perception, and a motor sequence learning task. We found that the left occipitotemporal cortex (OTC), which previous studies reported to be dysfunctional in dyslexia, can be fractionated into different functional areas: an anterior and lateral area that was activated by both reading and auditory rhyming tasks; a posterior area that was commonly activated by both the reading and the motion perception task and a medial/intermediate area, including the so-called Visual Word Form Area, which was specifically activated by the reading task. These results show that the left OTC is an area of segregated convergence of different functional systems. We compared our results with the hypoactivation pattern reported for reading in a previous cross-cultural PET study on 36 dyslexic subjects from three countries. The region of decreased activation in dyslexia overlapped with regions that are specific for reading and those activated during both the auditory rhyming task and the single word and pseudoword reading task described in the present fMRI study. No overlap was found with the activation patterns for the visual motion perception task or for the motor sequence learning task. These observations challenge current theories of dyslexia. Hum Brain Mapp 34:2669-2687, 2013. (c) 2012 Wiley Periodicals, Inc.",,,,"Berlingeri, Manuela/AAB-2765-2019","BOTTINI, GABRIELLA/0000-0003-4683-6420; Vacchi, Laura/0000-0002-6250-2976; Danelli, Laura/0000-0001-9836-9487; Berlingeri, Manuela/0000-0002-3159-2809",,,,,,,,,,,,1065-9471,1097-0193,,,,OCT,2013,34,10,,,,,2669,2687,,10.1002/hbm.22098,,,,,,,WOS:000324306900023,22736513,,,,,No,,,,,,,
