,stimulus,trial_name,task_type,correct_answer,lang,set_name
139,Who was the most frequent musical contributor to Doctor Who in the first 15 years of the show?,q_after_a_DoctorWho_3_qa_0,IS,Dudley Simpson,EN,mturk_EN_v02
140,"The International Union for Conservation of Nature is an international organization working in the field of nature conservation and the sustainable use of natural resources. It is involved in data gathering and analysis, research, field projects, advocacy, and education. Its mission is to 'influence, encourage and assist societies throughout the world to conserve nature and to ensure that any use of natural resources is equitable and ecologically sustainable'. Over the past decades, the organization has widened its focus beyond conservation ecology and now incorporates issues related to sustainable development in its projects. Unlike many other international environmental organizations, it does not aim to mobilize the public in support of nature conservation. Instead, the organization tries to influence the actions of governments, business and other stakeholders by providing information and advice, and through building partnerships. The organization is best known to the wider public for compiling and publishing the Red List of Threatened Species, which assesses the conservation status of species worldwide. Today, the organization employs approximately one thousand full-time staff in more than fifty countries.",meco_para_11,NR,,EN,mturk_EN_v03
141,The International Union for Conservation of Nature is different from Green Peace.,meco_para_11_qa_0,NR,True,EN,mturk_EN_v03
142,"The embargo had a negative influence on the US economy by causing immediate demands to address the threats to U.S. energy security. On an international level, the price increases changed competitive positions in many industries, such as automobiles. Macroeconomic problems consisted of both inflationary and deflationary impacts. The embargo left oil companies searching for new ways to increase oil supplies, even in rugged terrain such as the Arctic. Finding oil and developing new fields usually required five to ten years before significant production.",a_1973oilcrisis_1,NR,,EN,mturk_EN_v03
143,How long does it take for new areas to have significant oil production?,a_1973oilcrisis_1_qa_4,NR,five to ten years,EN,mturk_EN_v03
144,"On 28 February 2008, Kibaki and Odinga signed an agreement on the formation of a coalition government in which Odinga would become Kenya's second Prime Minister. Under the deal, the president would appoint cabinet ministers from both PNU and ODM camps depending on each party's strength in Parliament. The agreement stipulated that the cabinet would include a vice-president and two deputy Prime Ministers. After debates, it was passed by Parliament, the coalition would hold until the end of the current Parliament or if either of the parties withdraws from the deal before then.",a_Kenya_1,NR,,EN,mturk_EN_v03
145,Where did the president appoint cabinet members from?,a_Kenya_1_qa_2,NR,PNU and ODM camps,EN,mturk_EN_v03
146,"Victoria has a written constitution enacted in 1975, but based on the 1855 colonial constitution, passed by the United Kingdom Parliament as the Victoria Constitution Act 1855, which establishes the Parliament as the state's law-making body for matters coming under state responsibility. The Victorian Constitution can be amended by the Parliament of Victoria, except for certain ""entrenched"" provisions that require either an absolute majority in both houses, a three-fifths majority in both houses, or the approval of the Victorian people in a referendum, depending on the provision.",a_VictoriaAustralia_1,NR,,EN,mturk_EN_v03
147,On what is Victoria's constitution based ?,a_VictoriaAustralia_1_qa_1,NR,1855 colonial constitution,EN,mturk_EN_v03
148,"Grissom, White, and Chaffee decided to name their flight Apollo 1 as a motivational focus on the first manned flight. They trained and conducted tests of their spacecraft at North American, and in the altitude chamber at the Kennedy Space Center. A ""plugs-out"" test was planned for January, which would simulate a launch countdown on LC-34 with the spacecraft transferring from pad-supplied to internal power. If successful, this would be followed by a more rigorous countdown simulation test closer to the February 21 launch, with both spacecraft and launch vehicle fueled.",a_Apolloprogram_2,NR,,EN,mturk_EN_v03
149,"Who was the main crew of Apollo 1, of which they named themselves?",a_Apolloprogram_2_qa_1,NR,"Grissom, White, and Chaffee",EN,mturk_EN_v03
150,"In Tibetan Buddhism the teachers of Dharma in Tibet are most commonly called a Lama. A Lama who has through phowa and siddhi consciously determined to be reborn, often many times, in order to continue their Bodhisattva vow is called a Tulku.",a_Teacher_4,IS,,EN,mturk_EN_v03
151,What helped the Lama determine to be reborn?,q_after_a_Teacher_4_qa_4,IS,phowa and siddhi,EN,mturk_EN_v03
152,"Undergraduate admission to Harvard is characterized by the Carnegie Foundation as ""more selective, lower transfer-in"". Harvard College accepted 5.3% of applicants for the class of 2019, a record low and the second lowest acceptance rate among all national universities. Harvard College ended its early admissions program in 2007 as the program was believed to disadvantage low-income and under-represented minority applicants applying to selective universities, yet for the class of 2016 an Early Action program was reintroduced.",a_HarvardUniversity_3,IS,,EN,mturk_EN_v03
153,In what year was an early admission program reintroduced?,q_after_a_HarvardUniversity_3_qa_3,IS,2016,EN,mturk_EN_v03
154,where  is the relevant cross-sectional area for the volume for which the stress-tensor is being calculated. This formalism includes pressure terms associated with forces that act normal to the cross-sectional area (the matrix diagonals of the tensor) as well as shear terms associated with forces that act parallel to the cross-sectional area (the off-diagonal elements). The stress tensor accounts for forces that cause all strains (deformations) including also tensile stresses and compressions.:133–134:38-1–38-11,a_Force_4,IS,,EN,mturk_EN_v03
155,What causes strain in structures?,q_after_a_Force_4_qa_0,IS,stress tensor,EN,mturk_EN_v03
156,"The needs of soy farmers have been used to justify many of the controversial transportation projects that are currently developing in the Amazon. The first two highways successfully opened up the rainforest and led to increased settlement and deforestation. The mean annual deforestation rate from 2000 to 2005 (22,392 km2 or 8,646 sq mi per year) was 18% higher than in the previous five years (19,018 km2 or 7,343 sq mi per year). Although deforestation has declined significantly in the Brazilian Amazon between 2004 and 2014, there has been an increase to the present day.",a_Amazonrainforest_2,IS,,EN,mturk_EN_v03
157,"How much higher was the rate of deforestation in 2000, to 2005 compared to 1995 to 2000?",q_after_a_Amazonrainforest_2_qa_4,IS,18%,EN,mturk_EN_v03
158,"Luther's hymns were frequently evoked by particular events in his life and the unfolding Reformation. This behavior started with his learning of the execution of Johann Esch and Heinrich Voes, the first individuals to be martyred by the Roman Catholic Church for Lutheran views, prompting Luther to write the hymn ""Ein neues Lied wir heben an"" (""A new song we raise""), which is generally known in English by John C. Messenger's translation by the title and first line ""Flung to the Heedless Winds"" and sung to the tune Ibstone composed in 1875 by Maria C. Tiddeman.",a_MartinLuther_3,IS,,EN,mturk_EN_v03
159,Who is the English translator of this hymn?,q_after_a_MartinLuther_3_qa_3,IS,John C. Messenger,EN,mturk_EN_v03
160,"Wine tasting is the sensory examination and evaluation of wine. While the practice of wine tasting is as ancient as its production, a more formalized methodology has slowly become established from the late middle ages onwards. Modern, professional wine tasters use a constantly evolving specialized terminology which is used to describe the range of perceived flavors, aromas and general characteristics of a wine. In recent years, results challenging the reliability of wine tasting in both experts and consumers have surfaced. For example, studies showed that people expect more expensive wine to have more desirable characteristics than less expensive wine: When tasters are given wine that they are falsely told is expensive they virtually always report it as tasting better than the very same wine when they are told that it is inexpensive. Other studies show that tasters' judgment can be prejudiced by knowing details of a wine, such as geographic origin, reputation, or other considerations. Objective wine tasting therefore requires the wine to be served blind – that is, without the taster having seen the label or bottle shape. Blind tasting may also involve serving the wine from a black wine glass to mask the color of the wine.",meco_para_7,NR,,EN,mturk_EN_v04
161,Are experienced wine tasters less prejudiced towards wine than a lay person?,meco_para_7_qa_1,NR,False,EN,mturk_EN_v04
162,"Through combining the definition of electric current as the time rate of change of electric charge, a rule of vector multiplication called Lorentz's Law describes the force on a charge moving in a magnetic field. The connection between electricity and magnetism allows for the description of a unified electromagnetic force that acts on a charge. This force can be written as a sum of the electrostatic force (due to the electric field) and the magnetic force (due to the magnetic field). Fully stated, this is the law:",a_Force_3,NR,,EN,mturk_EN_v04
163,Whatare the electrostatic and magnetic force awritten as the sum of?,a_Force_3_qa_3,NR,electrostatic force,EN,mturk_EN_v04
164,"James Hutton is often viewed as the first modern geologist. In 1785 he presented a paper entitled Theory of the Earth to the Royal Society of Edinburgh. In his paper, he explained his theory that the Earth must be much older than had previously been supposed in order to allow enough time for mountains to be eroded and for sediments to form new rocks at the bottom of the sea, which in turn were raised up to become dry land. Hutton published a two-volume version of his ideas in 1795 (Vol. 1, Vol. 2).",a_Geology_4,NR,,EN,mturk_EN_v04
165,What was the main idea of James Hutton's paper?,a_Geology_4_qa_3,NR,Earth must be much older than had previously been supposed,EN,mturk_EN_v04
166,"In past times, corporal punishment (spanking or paddling or caning or strapping or birching the student in order to cause physical pain) was one of the most common forms of school discipline throughout much of the world. Most Western countries, and some others, have now banned it, but it remains lawful in the United States following a US Supreme Court decision in 1977 which held that paddling did not violate the US Constitution.",a_Teacher_0,NR,,EN,mturk_EN_v04
167,What does corporal punishment cause a student?,a_Teacher_0_qa_4,NR,physical pain,EN,mturk_EN_v04
168,"Korean economist Hoesung Lee is the chair of the IPCC since October 8, 2015, following the election of the new IPCC Bureau. Before this election, the IPCC was led by his vice-Chair Ismail El Gizouli, who was designated acting Chair after the resignation of Rajendra K. Pachauri in February 2015. The previous chairs were Rajendra K. Pachauri, elected in May 2002; Robert Watson in 1997; and Bert Bolin in 1988. The chair is assisted by an elected bureau including vice-chairs, working group co-chairs, and a secretariat.",a_IntergovernmentalPanelonClimateChange_0,NR,,EN,mturk_EN_v04
169,When did Pachauri resign as chair of the IPCC?,a_IntergovernmentalPanelonClimateChange_0_qa_4,NR,February 2015,EN,mturk_EN_v04
170,"These chloroplasts, which can be traced back directly to a cyanobacterial ancestor, are known as primary plastids (""plastid"" in this context means almost the same thing as chloroplast). All primary chloroplasts belong to one of three chloroplast lineages—the glaucophyte chloroplast lineage, the rhodophyte, or red algal chloroplast lineage, or the chloroplastidan, or green chloroplast lineage. The second two are the largest, and the green chloroplast lineage is the one that contains the land plants.",a_Chloroplast_1,IS,,EN,mturk_EN_v04
171,How many chloroplast lineages are there?,q_after_a_Chloroplast_1_qa_1,IS,three,EN,mturk_EN_v04
172,"From 2005 to 2014, there were two Major League Soccer teams in Los Angeles — the LA Galaxy and Chivas USA — that both played at the StubHub Center and were local rivals. However, Chivas were suspended following the 2014 MLS season, with a second MLS team scheduled to return in 2018.",a_SouthernCalifornia_4,IS,,EN,mturk_EN_v04
173,What was the name of the stadium that the teams played in?,q_after_a_SouthernCalifornia_4_qa_3,IS,StubHub Center,EN,mturk_EN_v04
174,"There are also several smaller freight operators and numerous tourist railways operating over lines which were once parts of a state-owned system. Victorian lines mainly use the 1,600 mm (5 ft 3 in) broad gauge. However, the interstate trunk routes, as well as a number of branch lines in the west of the state have been converted to 1,435 mm (4 ft 8 1⁄2 in) standard gauge. Two tourist railways operate over 760 mm (2 ft 6 in) narrow gauge lines, which are the remnants of five formerly government-owned lines which were built in mountainous areas.",a_VictoriaAustralia_3,IS,,EN,mturk_EN_v04
175,To what gauge have some lines been changed in the west of Victoria?,q_after_a_VictoriaAustralia_3_qa_1,IS,"1,435 mm (4 ft 8 1⁄2 in) standard gauge",EN,mturk_EN_v04
176,"With International Criminal Court trial dates in 2013 for both President Kenyatta and Deputy President William Ruto related to the 2007 election aftermath, US President Barack Obama chose not to visit the country during his mid-2013 African trip. Later in the summer, Kenyatta visited China at the invitation of President Xi Jinping after a stop in Russia and not having visited the United States as president. In July 2015 Obama visited Kenya, as the first American president to visit the country while in office.",a_Kenya_2,IS,,EN,mturk_EN_v04
177,Where did Kenyatta visit at the invitation of the President?,q_after_a_Kenya_2_qa_2,IS,China,EN,mturk_EN_v04
178,"Kenya ranks low on Transparency International's Corruption Perception Index (CPI), a metric which attempts to gauge the prevalence of public sector corruption in various countries. In 2012, the nation placed 139th out of 176 total countries in the CPI, with a score of 27/100. However, there are several rather significant developments with regards to curbing corruption from the Kenyan government, for instance, the establishment of a new and independent Ethics and Anti-Corruption Commission (EACC).",a_Kenya_0,IS,,EN,mturk_EN_v04
179,What does the CPI scale measure?,q_after_a_Kenya_0_qa_1,IS,public sector corruption,EN,mturk_EN_v04
180,"Wine tasting is the sensory examination and evaluation of wine. While the practice of wine tasting is as ancient as its production, a more formalized methodology has slowly become established from the late middle ages onwards. Modern, professional wine tasters use a constantly evolving specialized terminology which is used to describe the range of perceived flavors, aromas and general characteristics of a wine. In recent years, results challenging the reliability of wine tasting in both experts and consumers have surfaced. For example, studies showed that people expect more expensive wine to have more desirable characteristics than less expensive wine: When tasters are given wine that they are falsely told is expensive they virtually always report it as tasting better than the very same wine when they are told that it is inexpensive. Other studies show that tasters' judgment can be prejudiced by knowing details of a wine, such as geographic origin, reputation, or other considerations. Objective wine tasting therefore requires the wine to be served blind – that is, without the taster having seen the label or bottle shape. Blind tasting may also involve serving the wine from a black wine glass to mask the color of the wine.",meco_para_7,NR,,EN,mturk_EN_v05
181,Does blind-tasting ensure wine tasting to be less subjective?,meco_para_7_qa_2,NR,True,EN,mturk_EN_v05
182,The Royal Geographical Society of London and other geographical societies in Europe had great influence and were able to fund travelers who would come back with tales of their discoveries. These societies also served as a space for travellers to share these stories.Political geographers such as Friedrich Ratzel of Germany and Halford Mackinder of Britain also supported imperialism. Ratzel believed expansion was necessary for a state’s survival while Mackinder supported Britain’s imperial expansion; these two arguments dominated the discipline for decades.,a_Imperialism_0,NR,,EN,mturk_EN_v05
183,Halford Mackinder and Friedrich Ratzel where what kind of geographers?,a_Imperialism_0_qa_2,NR,Political,EN,mturk_EN_v05
184,"The heat required for boiling the water and supplying the steam can be derived from various sources, most commonly from burning combustible materials with an appropriate supply of air in a closed space (called variously combustion chamber, firebox). In some cases the heat source is a nuclear reactor, geothermal energy, solar energy or waste heat from an internal combustion engine or industrial process. In the case of model or toy steam engines, the heat source can be an electric heating element.",a_Steamengine_0,NR,,EN,mturk_EN_v05
185,What type of heating element is often used in toy steam engines?,a_Steamengine_0_qa_3,NR,electric,EN,mturk_EN_v05
186,"Nearby, in Ogród Saski (the Saxon Garden), the Summer Theatre was in operation from 1870 to 1939, and in the inter-war period, the theatre complex also included Momus, Warsaw's first literary cabaret, and Leon Schiller's musical theatre Melodram. The Wojciech Bogusławski Theatre (1922–26), was the best example of ""Polish monumental theatre"". From the mid-1930s, the Great Theatre building housed the Upati Institute of Dramatic Arts – the first state-run academy of dramatic art, with an acting department and a stage directing department.",a_Warsaw_0,NR,,EN,mturk_EN_v05
187,What is the Saxon Garden in Polish?,a_Warsaw_0_qa_0,NR,Ogród Saski,EN,mturk_EN_v05
188,"Between Bingen and Bonn, the Middle Rhine flows through the Rhine Gorge, a formation which was created by erosion. The rate of erosion equaled the uplift in the region, such that the river was left at about its original level while the surrounding lands raised. The gorge is quite deep and is the stretch of the river which is known for its many castles and vineyards. It is a UNESCO World Heritage Site (2002) and known as ""the Romantic Rhine"", with more than 40 castles and fortresses from the Middle Ages and many quaint and lovely country villages.",a_Rhine_0,NR,,EN,mturk_EN_v05
189,Where does the Middle Rhine flow between Bingen and Bonn?,a_Rhine_0_qa_5,NR,Rhine Gorge,EN,mturk_EN_v05
190,"Renewed religious warfare in the 1620s caused the political and military privileges of the Huguenots to be abolished following their defeat. They retained the religious provisions of the Edict of Nantes until the rule of Louis XIV, who progressively increased persecution of them until he issued the Edict of Fontainebleau (1685), which abolished all legal recognition of Protestantism in France, and forced the Huguenots to convert. While nearly three-quarters eventually were killed  or submitted, roughly 500,000 Huguenots had fled France by the early 18th century[citation needed].",a_Huguenot_0,IS,,EN,mturk_EN_v05
191,What proclamation abolished protestantism in France?,q_after_a_Huguenot_0_qa_0,IS,Edict of Fontainebleau,EN,mturk_EN_v05
192,"Under the terms of the Scotland Act 1978, an elected assembly would be set up in Edinburgh provided that the majority of the Scottish electorate voted for it in a referendum to be held on 1 March 1979 that represented at least 40% of the total electorate. The 1979 Scottish devolution referendum to establish a devolved Scottish Assembly failed. Although the vote was 51.6% in favour of a Scottish Assembly, this figure did not equal the 40% of the total electorate threshold deemed necessary to pass the measure, as 32.9% of the eligible voting population did not, or had been unable to, vote.",a_ScottishParliament_0,IS,,EN,mturk_EN_v05
193,How did trying to establish a devolved Scottish Assembly go in 1979?,q_after_a_ScottishParliament_0_qa_3,IS,failed,EN,mturk_EN_v05
194,"The ""West Side"" of Fresno, also often called ""Southwest Fresno"", is one of the oldest neighborhoods in the city. The neighborhood lies southwest of the 99 freeway (which divides it from Downtown Fresno), west of the 41 freeway and south of Nielsen Ave (or the newly constructed 180 Freeway), and extends to the city limits to the west and south. The neighborhood is traditionally considered to be the center of Fresno's African-American community. It is culturally diverse and also includes significant Mexican-American and Asian-American (principally Hmong or Laotian) populations.",a_FresnoCalifornia_0,IS,,EN,mturk_EN_v05
195,What is another name for the west side of Fresno?,q_after_a_FresnoCalifornia_0_qa_0,IS,Southwest Fresno,EN,mturk_EN_v05
196,"Professional sports teams in Southern California include teams from the NFL (Los Angeles Rams, San Diego Chargers); NBA (Los Angeles Lakers, Los Angeles Clippers); MLB (Los Angeles Dodgers, Los Angeles Angels of Anaheim, San Diego Padres); NHL (Los Angeles Kings, Anaheim Ducks); and MLS (LA Galaxy).",a_SouthernCalifornia_3,IS,,EN,mturk_EN_v05
197,What is the other NHL team aside from the Anaheim Ducks to reside in Southern California?,q_after_a_SouthernCalifornia_3_qa_3,IS,Los Angeles Kings,EN,mturk_EN_v05
198,"Although the reciprocating steam engine is no longer in widespread commercial use, various companies are exploring or exploiting the potential of the engine as an alternative to internal combustion engines. The company Energiprojekt AB in Sweden has made progress in using modern materials for harnessing the power of steam. The efficiency of Energiprojekt's steam engine reaches some 27-30% on high-pressure engines. It is a single-step, 5-cylinder engine (no compound) with superheated steam and consumes approx. 4 kg (8.8 lb) of steam per kWh.[not in citation given]",a_Steamengine_3,IS,,EN,mturk_EN_v05
199,Where is Energiprojekt AB based?,q_after_a_Steamengine_3_qa_1,IS,Sweden,EN,mturk_EN_v05
200,"The International Union for Conservation of Nature is an international organization working in the field of nature conservation and the sustainable use of natural resources. It is involved in data gathering and analysis, research, field projects, advocacy, and education. Its mission is to 'influence, encourage and assist societies throughout the world to conserve nature and to ensure that any use of natural resources is equitable and ecologically sustainable'. Over the past decades, the organization has widened its focus beyond conservation ecology and now incorporates issues related to sustainable development in its projects. Unlike many other international environmental organizations, it does not aim to mobilize the public in support of nature conservation. Instead, the organization tries to influence the actions of governments, business and other stakeholders by providing information and advice, and through building partnerships. The organization is best known to the wider public for compiling and publishing the Red List of Threatened Species, which assesses the conservation status of species worldwide. Today, the organization employs approximately one thousand full-time staff in more than fifty countries.",meco_para_11,NR,,EN,mturk_EN_v06
201,This organization is mostly run by volunteers.,meco_para_11_qa_1,NR,False,EN,mturk_EN_v06
202,"In Hinduism the spiritual teacher is known as a guru, and, in many traditions of Hinduism - especially those common in the West - the emphasis on spiritual mentorship is extremely high, with gurus often exercising a great deal of control over the lives of their disciples.",a_Teacher_3,NR,,EN,mturk_EN_v06
203,In what area is it common for spiritual mentorship to be extremely high?,a_Teacher_3_qa_3,NR,the West,EN,mturk_EN_v06
204,"Some of the oldest schools in South Africa are private church schools that were established by missionaries in the early nineteenth century. The private sector has grown ever since. After the abolition of apartheid, the laws governing private education in South Africa changed significantly. The South African Schools Act of 1996 recognises two categories of schools: ""public"" (state-controlled) and ""independent"" (which includes traditional private schools and schools which are privately governed[clarification needed].)",a_Privateschool_2,NR,,EN,mturk_EN_v06
205,"Along with public schools, what type of school was recognized under the South African Schools Act?",a_Privateschool_2_qa_2,NR,independent,EN,mturk_EN_v06
206,"The Broncos defeated the Pittsburgh Steelers in the divisional round, 23–16, by scoring 11 points in the final three minutes of the game. They then beat the defending Super Bowl XLIX champion New England Patriots in the AFC Championship Game, 20–18, by intercepting a pass on New England's 2-point conversion attempt with 17 seconds left on the clock. Despite Manning's problems with interceptions during the season, he didn't throw any in their two playoff games.",a_SuperBowl50_1,NR,,EN,mturk_EN_v06
207,Who did the Broncos defeat in the AFC Championship game?,a_SuperBowl50_1_qa_12,NR,New England Patriots,EN,mturk_EN_v06
208,"Teachers in Wales can be registered members of trade unions such as ATL, NUT or NASUWT and reports in recent years suggest that the average age of teachers in Wales is falling with teachers being younger than in previous years. A growing cause of concern are that attacks on teachers in Welsh schools which reached an all-time high between 2005 and 2010.",a_Teacher_1,NR,,EN,mturk_EN_v06
209,What is the NASUWT?,a_Teacher_1_qa_3,NR,trade unions,EN,mturk_EN_v06
210,"The agreements include fixed annual carriage fees of £30m for the channels with both channel suppliers able to secure additional capped payments if their channels meet certain performance-related targets. Currently there is no indication as to whether the new deal includes the additional Video On Demand and High Definition content which had previously been offered by BSkyB. As part of the agreements, both BSkyB and Virgin Media agreed to terminate all High Court proceedings against each other relating to the carriage of their respective basic channels.",a_SkyUnitedKingdom_4,IS,,EN,mturk_EN_v06
211,What were high court proceedings being held about?,q_after_a_SkyUnitedKingdom_4_qa_4,IS,basic channels,EN,mturk_EN_v06
212,"After an unmanned LM test flight AS-206, a crew would fly the first Block II CSM and LM in a dual mission known as AS-207/208, or AS-278 (each spacecraft would be launched on a separate Saturn IB.) The Block II crew positions were titled Commander (CDR) Command Module Pilot (CMP) and Lunar Module Pilot (LMP). The astronauts would begin wearing a new Apollo spacesuit, designed to accommodate lunar extravehicular activity (EVA). The traditional visor helmet was replaced with a clear ""fishbowl"" type for greater visibility, and the lunar surface EVA suit would include a water-cooled undergarment.",a_Apolloprogram_1,IS,,EN,mturk_EN_v06
213,"What type of undergarment, if any, was included into the Apollo spacesuit?",q_after_a_Apolloprogram_1_qa_3,IS,water-cooled undergarment.,EN,mturk_EN_v06
214,"Ergänzungsschulen are secondary or post-secondary (non-tertiary) schools, which are run by private individuals, private organizations or rarely, religious groups and offer a type of education which is not available at public schools. Most of these schools are vocational schools. However, these vocational schools are not part of the German dual education system. Ergänzungsschulen have the freedom to operate outside of government regulation and are funded in whole by charging their students tuition fees.",a_Privateschool_0,IS,,EN,mturk_EN_v06
215,What types of schools are most ergänzungsschulen?,q_after_a_Privateschool_0_qa_1,IS,vocational,EN,mturk_EN_v06
216,"In most countries, the dispensary is subject to pharmacy legislation; with requirements for storage conditions, compulsory texts, equipment, etc., specified in legislation. Where it was once the case that pharmacists stayed within the dispensary compounding/dispensing medications, there has been an increasing trend towards the use of trained pharmacy technicians while the pharmacist spends more time communicating with patients. Pharmacy technicians are now more dependent upon automation to assist them in their new role dealing with patients' prescriptions and patient safety issues.",a_Pharmacy_2,IS,,EN,mturk_EN_v06
217,What responsibilities were pharmacy technicians formerly limited to?,q_after_a_Pharmacy_2_qa_1,IS,within the dispensary compounding/dispensing medications,EN,mturk_EN_v06
218,"In 1973, Nixon named William E. Simon as the first Administrator of the Federal Energy Office, a short-term organization created to coordinate the response to the embargo. Simon allocated states the same amount of domestic oil for 1974 that each had consumed in 1972, which worked for states whose populations were not increasing. In other states, lines at gasoline stations were common. The American Automobile Association reported that in the last week of February 1974, 20% of American gasoline stations had no fuel.",a_1973oilcrisis_2,IS,,EN,mturk_EN_v06
219,"According to the AAA, what is the percentage of the gas stations that ran out of gasoline?",q_after_a_1973oilcrisis_2_qa_3,IS,20%,EN,mturk_EN_v06
220,"A vehicle registration plate is a metal or plastic plate attached to a vehicle for officialidentification purposes. All countries require registration plates for road vehicles such as cars, trucks,and motorcycles. Whether they are required for other vehicles, such as bicycles, boats, or tractors, may vary by jurisdiction. The registration identifier is a series of letters and digits that uniquely identifies the vehicle owner within the issuing region's vehicle register. In some countries, the identifier is unique within the entire country, while in others it is unique within a state or province. France was the first country to introduce the registration plate, in the late nineteenth century. Early twentieth century plates varied in size and shape from one jurisdiction to the next, such that if a person moved, new holes would need to be drilled into the automobile to support the new plate. Standardization of plates came in the late fifties, when automobile manufacturers came to an agreement with governments and international organizations.",meco_para_12,NR,,EN,mturk_EN_v07
221,The size of plates was standardized before World War II.,meco_para_12_qa_1,NR,False,EN,mturk_EN_v07
222,"Jacksonville is the largest city by population in the U.S. state of Florida, and the largest city by area in the contiguous United States. It is the county seat of Duval County, with which the city government consolidated in 1968. Consolidation gave Jacksonville its great size and placed most of its metropolitan population within the city limits; with an estimated population of 853,382 in 2014, it is the most populous city proper in Florida and the Southeast, and the 12th most populous in the United States. Jacksonville is the principal city in the Jacksonville metropolitan area, with a population of 1,345,596 in 2010.",a_JacksonvilleFlorida_0,NR,,EN,mturk_EN_v07
223,What was the population Jacksonville city as of 2010?,a_JacksonvilleFlorida_0_qa_1,NR,"1,345,596",EN,mturk_EN_v07
224,"In the early 1970s, ABC completed its transition to color; the decade as a whole would mark a turning point for ABC, as it began to pass CBS and NBC in the ratings to become the first place network. It also began to use behavioral and demographic data to better determine what types of sponsors to sell advertising slots to and provide programming that would appeal towards certain audiences. ABC's gains in audience share were greatly helped by the fact that several smaller markets had grown large enough to allow full-time affiliations from all three networks.",a_AmericanBroadcastingCompany_3,NR,,EN,mturk_EN_v07
225,In what decade did ABC finish transitioning to color?,a_AmericanBroadcastingCompany_3_qa_0,NR,1970s,EN,mturk_EN_v07
226,"Child labour is common in Kenya. Most working children are active in agriculture. In 2006, UNICEF estimated that up to 30% of girls in the coastal areas of Malindi, Mombasa, Kilifi, and Diani were subject to prostitution. Most of the prostitutes in Kenya are aged 9–18. The Ministry of Gender and Child Affairs employed 400 child protection officers in 2009. The causes of child labour include poverty, the lack of access to education and weak government institutions. Kenya has ratified Convention No. 81 on labour inspection in industries and Convention No. 129 on labour inspection in agriculture.",a_Kenya_3,NR,,EN,mturk_EN_v07
227,What percent of girls are in prostution in Kenyas coastal areas?,a_Kenya_3_qa_1,NR,up to 30%,EN,mturk_EN_v07
228,"Southern California is home to Los Angeles International Airport, the second-busiest airport in the United States by passenger volume (see World's busiest airports by passenger traffic) and the third by international passenger volume (see Busiest airports in the United States by international passenger traffic); San Diego International Airport the busiest single runway airport in the world; Van Nuys Airport, the world's busiest general aviation airport; major commercial airports at Orange County, Bakersfield, Ontario, Burbank and Long Beach; and numerous smaller commercial and general aviation airports.",a_SouthernCalifornia_2,NR,,EN,mturk_EN_v07
229,What is the world's busiest general aviation airport?,a_SouthernCalifornia_2_qa_4,NR,Van Nuys Airport,EN,mturk_EN_v07
230,"Between 1402 and 1405, the expedition led by the Norman noble Jean de Bethencourt and the Poitevine Gadifer de la Salle conquered the Canarian islands of Lanzarote, Fuerteventura and El Hierro off the Atlantic coast of Africa. Their troops were gathered in Normandy, Gascony and were later reinforced by Castilian colonists.",a_Normans_4,IS,,EN,mturk_EN_v07
231,What continent are the Canarian Islands off the coast of?,q_after_a_Normans_4_qa_0,IS,Africa,EN,mturk_EN_v07
232,"For many years, Sudan had an Islamist regime under the leadership of Hassan al-Turabi. His National Islamic Front first gained influence when strongman General Gaafar al-Nimeiry invited members to serve in his government in 1979. Turabi built a powerful economic base with money from foreign Islamist banking systems, especially those linked with Saudi Arabia. He also recruited and built a cadre of influential loyalists by placing sympathetic students in the university and military academy while serving as minister of education.",a_Islamism_3,IS,,EN,mturk_EN_v07
233,Who was the leader of the Islamist regime in Sudan?,q_after_a_Islamism_3_qa_1,IS,Hassan al-Turabi,EN,mturk_EN_v07
234,"The plugs-out test began on the morning of January 27, 1967, and immediately was plagued with problems. First the crew noticed a strange odor in their spacesuits, which delayed the sealing of the hatch. Then, communications problems frustrated the astronauts and forced a hold in the simulated countdown. During this hold, an electrical fire began in the cabin, and spread quickly in the high pressure, 100% oxygen atmosphere. Pressure rose high enough from the fire that the cabin burst and the fire erupted onto the pad area, frustrating attempts to rescue the crew. The astronauts were asphyxiated before the hatch could be opened.",a_Apolloprogram_3,IS,,EN,mturk_EN_v07
235,What type of atmosphere helped fuel the fire throughout the cabin?,q_after_a_Apolloprogram_3_qa_4,IS,100% oxygen,EN,mturk_EN_v07
236,"In the years after these rumors, neither Tesla nor Edison won the prize (although Edison did receive one of 38 possible bids in 1915 and Tesla did receive one of 38 possible bids in 1937).",a_NikolaTesla_3,IS,,EN,mturk_EN_v07
237,How many possible bids for the prize were there in 1915?,q_after_a_NikolaTesla_3_qa_0,IS,38,EN,mturk_EN_v07
238,There are some common misconceptions about the outer and inner chloroplast membranes. The fact that chloroplasts are surrounded by a double membrane is often cited as evidence that they are the descendants of endosymbiotic cyanobacteria. This is often interpreted as meaning the outer chloroplast membrane is the product of the host's cell membrane infolding to form a vesicle to surround the ancestral cyanobacterium—which is not true—both chloroplast membranes are homologous to the cyanobacterium's original double membranes.,a_Chloroplast_4,IS,,EN,mturk_EN_v07
239,What is evidence chloroplasts descended from endosymbiotic cyanobacteria?,q_after_a_Chloroplast_4_qa_0,IS,surrounded by a double membrane,EN,mturk_EN_v07
